Timestamp_Epoch,Timestamp_Seconds,Cart_X,Cart_Y,Cart_Z,Yaw_angle,Cable_X,Cable_Y,Unused,Cable_Lock,Yaw_angle_corrected,Rot_X,Rot_Y,CCOG_X,CCOG_Y,CCOG_Z
1759745220.285,120700.285,619455.13,5806092.37,41.42,102.59999999999998,3.999999999999993,5.099999999999994,,1,282.59999999999997,5.849748451473773,-2.79113651663262,619460.9797484515,5806089.578863484,41.42
1759745220.488,120700.488,619455.32,5806092.33,41.42,103.4,4.300000000000012,5.1000000000000005,,1,283.4,5.957672963892801,-3.001021968480218,619461.2776729638,5806089.328978032,41.42
1759745220.69,120700.69,619455.53,5806092.27,41.4,103.39999999999998,4.500000000000012,5.099999999999994,,1,283.4,6.004022544591626,-3.1955771441220984,619461.5340225446,5806089.074422856,41.4
1759745220.894,120700.894,619455.53,5806092.27,41.4,101.3,3.600000000000005,4.7,,1,281.3,5.314295014442146,-2.6092658928279784,619460.8442950145,5806089.660734107,41.4
1759745221.11,120701.11,619456.08,5806092.15,41.4,103.5,4.5,4.399999999999993,,1,283.5,5.328931787101346,-3.3485050408235613,619461.408931787,5806088.80149496,41.4
1759745221.313,120701.313,619456.28,5806092.18,41.47,102.5,4.500000000000012,6.200000000000009,,1,282.5,7.02701350686506,-3.051406425623476,619463.3070135069,5806089.128593574,41.47
1759745221.515,120701.515,619456.47,5806092.18,41.43,101.5,5.100000000000014,5.200000000000001,,1,281.5,6.112384929556023,-3.9609027345968206,619462.5823849295,5806088.219097265,41.43
1759745221.717,120701.717,619456.6,5806092.13,41.42,101.5,4.500000000000012,3.500000000000005,,1,281.5,4.326892171050297,-3.711873400333556,619460.926892171,5806088.4181266,41.42
1759745221.919,120701.919,619456.6,5806092.13,41.42,102.5,3.699999999999999,3.4999999999999987,,1,282.5,4.217862596490745,-2.8547565775603942,619460.8178625965,5806089.275243422,41.42
1759745222.121,120702.121,619456.99,5806092.06,41.43,101.0,4.599999999999993,3.5999999999999988,,1,281.0,4.411579239143695,-3.828572660503686,619461.4015792392,5806088.231427339,41.43
1759745222.339,120702.339,619457.14,5806092.07,41.45,102.09999999999998,4.800000000000007,3.0000000000000107,,1,282.09999999999997,3.9395188122141716,-4.064503847729852,619461.0795188122,5806088.005496153,41.45
1759745222.54,120702.54,619457.36,5806092.02,41.43,102.09999999999998,4.300000000000026,1.9000000000000024,,1,282.09999999999997,2.7591479703277897,-3.8061926485447715,619460.1191479703,5806088.213807351,41.43
1759745222.743,120702.743,619457.49,5806091.96,41.4,103.1,5.300000000000014,1.7999999999999965,,1,283.1,2.954408670517628,-4.7541002731926465,619460.4444086705,5806087.205899727,41.4
1759745222.944,120702.944,619457.65,5806091.9,41.43,103.90000000000002,4.300000000000012,3.3999999999999986,,1,283.90000000000003,4.333416620018086,-3.357305526363533,619461.9834166201,5806088.542694474,41.43
1759745223.147,120703.147,619457.82,5806091.9,41.46,102.7,5.200000000000007,3.9000000000000057,,1,282.7,4.9477849840236,-4.215379431542397,619462.767784984,5806087.6846205685,41.46
1759745223.365,120703.365,619457.91,5806091.92,41.46,100.9,3.999999999999993,3.699999999999999,,1,280.9,4.389629008936403,-3.228181711723172,619462.299629009,5806088.6918182885,41.46
1759745223.569,120703.569,619458.15,5806091.88,41.42,100.79999999999998,4.400000000000007,2.500000000000004,,1,280.79999999999995,3.28019591099891,-3.8536106167419284,619461.430195911,5806088.026389383,41.42
1759745223.77,120703.77,619458.23,5806091.77,41.44,102.9,4.9,3.1000000000000045,,1,282.9,4.11568527044645,-4.084254491903041,619462.3456852704,5806087.6857455075,41.44
1759745223.972,120703.972,619458.44,5806091.72,41.45,102.2,3.2000000000000046,5.100000000000007,,1,282.2,5.66106040951634,-2.0499743997930286,619464.1010604094,5806089.6700256,41.45
1759745224.176,120704.176,619458.69,5806091.72,41.45,100.2,5.599999999999995,4.800000000000007,,1,280.2,5.71581346404203,-4.661488651093752,619464.405813464,5806087.058511348,41.45
1759745224.381,120704.381,619458.82,5806091.73,41.45,101.0,4.9,3.4999999999999987,,1,281.0,4.370659219411893,-4.142141715075645,619463.1906592194,5806087.587858286,41.45
1759745224.582,120704.582,619459.0,5806091.63,41.38,103.4,4.300000000000012,2.399999999999997,,1,283.4,3.331178092727426,-3.6267413079144424,619462.3311780927,5806088.003258692,41.38
1759745224.798,120704.798,619459.15,5806091.59,41.43,103.4,4.300000000000012,2.399999999999997,,1,283.4,3.331178092727426,-3.6267413079144424,619462.4811780928,5806087.963258692,41.43
